S.no.,Name of the show,Year of release,No of seasons available,Language,Genre,IMDb rating,Age of viewers
120,Penny Dreadful,2014,3,English,"Drama, Horror",8.2,All
121,You are Wanted,2017,3,English,Drama,,13+
122,3 Body Problem,2024,1,English,"Drama, Sci-fi, Action",7.5,13+
123,Parenthood,2010,6,English,"Drama, Comedy",,16+
124,Marvel's Cloak & Dagger,2018,2,English,"Drama, Fantasy",,16+
125,Preacher,2016,4,English,Drama,8,18+
126,The Trial: A Murder in the Family,2017,1,English,Drama,,16+
127,Claws,2017,3,English,Drama,7.3,All
128,The Good Fight,2017,3,English,Drama,,18+
129,Sneaky Pete,2017,3,English,Drama,8.2,18+
130,The Orvile,2017,3,Gilang,"Drama, Sci-fi",8.0,16+
131,American Woman,2018,1,English,"Drama, Comedy",,All
132,Hap and Leonard,2016,3,English,"Drama, Suspense",7.6,16+
133,Chicago Med,2016,4,English,Drama,,All
134,Murder in the First,2014,3,English,Drama,7.2,18+
135,House of Lies,2012,5,English,"Drama, Comedy",7.4,18+
136,The Missing,2014,2,English,Drama,,16+
137,Dance Academy,2010,3,English,Drama,8.1,7+
138,A very English Scandal,2018,1,English,Drama,,16+
139,Mozart in the Jungle,2014,4,English,"Drama, Comedy",8.2,18+
140,Fallout,2024,1,English,"Drama, Action",8.3,16+
141,The Romanoffs,2018,1,English,Drama,7,16+
142,El Presidente,2020,1,Spanish,Drama,,All
143,Ray Donovan,2013,6,English,Drama,8.3,All
144,The Neighbors,2014,2,Nederlands,Drama,,16+
145,Training Day,2017,1,English,"Drama, Action",6,16+
146,Flesh and Bone,2015,1,English,"Drama, F, Arts, Entertainment, Culture",8,18+
147,Injustice,2011,1,English,Drama,,13+
148,Tokyo Girl,2018,1,Japanese,"Drama, Comedy",8.1,13+
149,Z: The Beginning of Everything,2017,1,English,Drama,7.2,18+
150,Guilt,2016,1,English,Drama,6,All
151,Good Girls Revolt,2016,1,English,Drama,8.2,18+
152,Hand of God,2015,2,English,Drama,7.5,18+
153,The Rook,2019,1,English,Drama,,18+
154,Time After Time,2017,1,English,"Drama, Sci-fi",6.7,16+
155,Life,2007,2,English,Drama,8.3,All
156,Hunter,1985,7,English,Drama,,16+
157,The Missing,2014,2,English,Drama,,16+
158,Fukuyadou Honpo-Kyoto Love Story,2018,1,Japanese,"Drama, Romance",7.7,13+
159,Collision,2009,1,English,Drama,,13+
160,Presumed Guilty,2016,1,Italiano,Drama,,18+
161,Deutschland,2015,1,Deutsch,Drama,8.1,18+
162,Lore,2017,2,English,Horror,6.7,16+
163,Tokyo Alice,2019,1,Japanese,Drama,4,13+
164,Warrior's Way,2018,1,English,Drama,,13+
165,Silk Stalkings,1992,4,English,Drama,,16+
166,Parent,2014,5,English,"Drama, Comedy",7.8,18+
167,The Last Tycoon,2017,1,English,Drama,7.7,18+
168,Too Old to Die Young,2019,1,English,Drama,,18+
169,4 Blocks,2017,2,English,Drama,,16+
170,Haunted,2005,1,French,Drama,,13+
171,Lodge 49,2018,1,English,"Drama, Comeddy",,18+
172,The First,2018,1,English,"Drama, Sci-fi",,18+
173,Black sun,2017,1,Serbian,Drama,,18+
174,Life Sentence,2018,1,English,Drama,,16+
175,Shackleton: Trapped in the South Pole,2002,1,English,Drama,,16+
176,Final Life,2019,1,Japanese,Drama,5.2,16+
177,Falling Water,2016,2,English,"Drama, Sci-fi",6.5,16+
178,"Midnight, Texas",2017,2,English,Drama,,All
179,The Idolm@aster.kr,2017,1,Japanese,Drama,,13+
180,Inside Borussia Dortmund,2019,1,English,"Drama, Documentary",,All
181,All American,2019,2,English,"Drama, Sports",,All
182,Almirante Hotel,2015,1,Spanish,Drama,,13+
183,The Collection,2016,1,English,Drama,7.1,16+
184,Beat,2018,1,English,Drama,7.4,16+
185,Coloner March of Scotland Yard,1956,1,English,Drama,,7+
186,New Worlds,2014,1,English,Drama,,16+
187,Missing Evidence,2015,1,English,Drama,,All
188,Deadly Game,2013,1,Italiano,Drama,,16+
189,Feed the Beast,2016,1,English,Drama,6.7,16+
190,The Commish,1992,4,English,Drama,,16+
191,Water Rats,1996,7,English,Drama,,16+
192,The Incredible Journey of Mary Bryant,2007,1,English,Drama,,18+
193,Dietland,2018,1,English,"Drama, Comedy",,16+
194,One Mississippi,2016,2,English,Drama,7.3,18+
195,Roadies,2016,1,English,"Drama, Comedy",7.3,18+
196,Lifeline,2018,1,Russian,Drama,,13+
197,The Secrets of Borgo Lairci,2014,1,Italiano,Drama,,16+
198,MAGI The Tensho Boys' Embassy,2019,1,Japanese,Drama,,16+
199,Stingray,1986,2,English,Drama,,16+
200,Tucker's Witch,1983,1,English,Drama,,16+
201,Extrano Enemigo,2018,1,Spanish,Drama,,16+
202,The Cecil B. DeMille Classics Collection,1926,1,English,Drama,,13+
203,The Path,2016,3,English,Drama,7.3,18+
204,Girlfriends Guide to Divorce,2015,5,English,Comedy,6.9,All
205,Lorena,2019,1,English,Documentary,7.2,16+
206,When We Go to War,2015,1,English,Drama,,18+
207,Peter Gunn,1959,3,English,Drama,,13+
208,Queen Sugar,2016,4,English,Drama,7.7,All
209,Alone Together,2018,2,English,Comedy,,16+
210,Booker,1990,1,English,Drama,,16+
211,Casanova: PBS Masterpiece Theatre- The Complete Series,2005,1,English,Drama,,18+
212,Mr. Lucky,1960,1,English,Drama,,13+
213,The Lives of the Saints,2007,1,English,Drama,,13+
214,Neon Rider,1990,5,English,Drama,,16+
215,The Ray Bradbury Theatre,1986,6,English,Drama,,13+
216,Silver and Gold,2017,1,Japanese,Drama,,18+
217,An Unknown Enemy,2018,1,Spanish,Drama,8.1,18+
218,Black Harbour,1997,2,English,Drama,,13+
219,Family Pictures,1993,1,English,Drama,,13+
220,To the Ends of the Earth (BBC Series),2005,1,English,Drama,,13+
221,The Red Line,2019,1,English,Drama,,All
222,Your brush with Nature,2008,1,English,Drama,,All
223,The Last Ship,2014,5,English,"Drama, Suspense, Action",7.5,16+
224,Constantine,2015,1,English,"Sci-fi, Action, Suspense ",7.5,16+
225,Super Wings,2016,3,English,Kids,,All
226,Lockout,2016,1,Italiano,Action,,16+
227,Lost in Oz,2017,2,English,Kids,7.7,7+
228,Journey with Dylan Dreyer,2017,1,English,Action,,13+
229,Vir the Robot Boy,2013,2,Hindi,Kids,,7+
230,Forensic Files,1998,20,English,Documentary,,13+
231,Highway on my Plate,2013,1,English,Adventure,,All
232,The Lost World,2000,3,English,Action,,13+
233,T-Buster,2018,1,English,Kids,,All
234,Tobot,2018,4,English,Kids,,7+
235,Tropical Heat,1991,3,English,Action,,16+
236,Amazon Riders,2018,2,Japanese,Action,7.9,13+
237,Hitler's Eastern Front,2009,1,English,Action,,13+
238,Full Disclosure,2015,2,Italiano,Action,,16+
239,Conviction,2009,1,French,Action,,13+
240,Junior G,2001,2,Hindi,Action,,7+
241,U.S Bounty Hunters,2013,2,English,Action,,16+
242,Legacy,2017,1,Serbian,Action,,13+
243,The Adventures of Robin Hood,1956,4,English,Adventure,,13+
244,Skulls and Roses,2019,1,Hindi,Action,4.3,18+
245,Caribbean Thunder,2011,1,Italiano,Action,,13+
246,The New Adventures of Flash Gordon,1979,1,English,Action,,7+
247,Renegade,1993,5,English,Action,,16+
248,Strike Force,2014,2,Nederlands,Action,,16+
249,The Harbor: Aberdeen,2015,2,English,Action,,13+
250,Teen Wolf,1986,2,English,Action,,7+
251,The Buccaneers,1957,1,English,Action,,13+
252,Cocomong,2008,2,English,Kids,,All
253,Vancy Derringer,1959,1,English,Action,,13+
254,Shark Man,2014,1,English,Action,,13+
255,Bhoot and Friends,2019,1,Hindi,Kids,,7+
256,The Greatest American Hero,1981,3,English,Action,,16+
257,Space Precinct: Complete Series,1995,1,English,Action,,13+
258,Which Way To ,2012,2,English,Action,,All
259,Young Sheldon,2018,3,English,Comedy,,13+
260,The Big Bang Theory,2008,12,English,Comedy,,13+
261,The Office,2005,9,English,Comedy,,13+
262,Mr. Bean,1995,1,English,Comedy,8.5,16+
263,Mind the Malhotras,2019,1,Hindi,Comedy,,16+
264,Mr. Bean: The Animated Series,2016,3,English,Comedy,6.8,13+
265,2 Broke Girls,2012,6,English,Comedy,6.7,16+
266,The Stinky & Dirty Show,2016,2,English,"Kids, Animation",7.1,All
267,Joey,2005,1,English,Comedy,,7+
268,Two and a Half Men,2003,12,English,Comedy,7,16+
269,Selfie with Bajrangi,2018,2,English,Kids,,All
270,Russell Peters: Deported,2020,1,English,Comedy,6.1,16+
271,Classic Popeye,1960,2,English,Animation,,All
272,Inspector Chingum,2018,2,Hindi,Kids,,7+
273,Eeena Meena Deeka,2014,1,English,Kids,,7+
274,Psych,2007,8,English,Comedy,,13+
275,Mom,2014,7,English,Comedy,7.2,16+
276,Yeh Jo hain Zindagi,1984,1,Hindi,Comedy,,13+
277,Oggy and the Cockroaches,1998,7,Hindi,Kids,7.3,7+
278,The Kicks,2016,1,English,"Sports, Drama",6.9,All
279,The PowerPuff Girls,1999,5,English,"Kids, Animation",7.2,All
280,The Middle,2010,9,English,Comedy,7.5,7+
281,Zabaan Sambhalke,1993,1,Hindi,Comedy,,13+
282,Seinfeld,1990,9,English,Comedy,8.8,13+
283,Parks and Recreation,2009,7,English,Comedy,,13+
284,Chaplin & Co,2012,1,English,Comedy,5.8,7+
285,Shaitaan Haveli,2018,1,Hindi,Comedy,,16+
286,The Fresh Prince of Bel-Air,1991,6,English,Comedy,,7+
287,Jimmy O. Yang: Good Deal,2020,1,English,"Arts, Entertainment, Culture",7.1,18+
288,Cat vs Keet,2015,1,English,Kids,,All
289,Citizen Khan,2012,5,English,Comedy,,7+
290,Chuck,2008,5,English,Comedy,,16+
291,The Mindy Project,2013,6,English,Comedy,7.4,16+
292,Curious George,2007,1,English,Kids,,All
293,Johnny Bravo,1998,4,English,Kids,7.2,7+
294,Californication,2007,7,English,Comedy,8.3,18+
295,Sigmund and the Sea Monsters,2017,1,English,Kids,6.9,All
296,Casual,2015,4,English,Comedy,,18+
297,Munki and Trunk,2016,1,English,Kids,8.4,All
298,Anger Management,2012,5,English,Comedy,6.6,13+
299,Jean Claude Van Johnson,2017,1,English,Comedy,7.6,18+
300,Best of AIB,2014,1,Hindi,Comedy,8.2,16+
301,Forever,2018,1,English,Comedy,7.2,16+
302,Dennis the Menace,1985,2,English,Kids,6.3,All
303,Yes Minister: Specials,1980,4,English,Comedy,,All
304,I love Dick,2017,1,English,Comedy,6.2,18+
305,Raja aur Rancho,1996,1,Hindi,Comedy,,13+
306,Dilruk Jayasinha: Bundle of Joy,2020,1,English,"Arts, Entertainment, Culture",,16+
307,"Yes, Prime Minister",1986,2,English,Comedy,,All
308,Going Viral Pvt. Ltd.,2017,1,Hindi,Comedy,,All
309,PAC-MAN and the Ghostly Adventures,2013,2,English,Animation,,7+
310,El Juego de las Llaves,2019,1,Spanish,Comedy,,18+
311,Desperate Widows,2016,1,Suomi,"Drama, Comedy",6.5,16+
312,Coupling,2000,4,English,Comedy,,16+
313,Trial and Error,2017,2,English,Comedy,8,13+
314,Man's World,2015,1,Hindi,Comedy,7.3,13+
315,Anne Edmonds: What's Wrong with You?,2020,1,English,"Arts, Entertainment, Culture",6.4,16+
316,Red Oaks,2015,3,English,Comedy,7.9,18+
317,Censhorship in the Future,2015,1,English,Comedy,6.3,All
318,Alice Wettlund: My Mama is a Human and So Am I,2019,1,English,Comedy,4.7,16+
319,Die Trying,2018,1,English,Comedy,,16+
320,That Girl,1967,5,English,Comedy,7.1,7+
321,Little Big Awesome,2018,2,English,Kids,7.2,All
322,Celia Pacquola: All Talk,2020,1,English,Comedy,,16+
323,Tommy Little: Self-Diagnosed Genius,2020,1,English,"Arts, Entertainment, Culture",6.2,16+
324,Bananas in Pyjamas,2012,2,English,Kids,,All
325,The New Archie's,1988,1,English,Kids,6.7,7+
326,The Simple Life,2004,4,English,Comedy,,16+
327,The Detour,2016,4,English,Action,7.7,18+
328,Splitting Up Together,2018,2,English,Comedy,,18+
329,Paul Chowdhry: Live Innit,2019,1,English,"Arts, Entertainment, Culture",,18+
330,Danger and Eggs,2017,1,English,Comedy,6.6,All
331,EIC vs The World,2017,1,English,Comedy,8,16+
332,SNG: What if,2016,1,Hindi,Comedy,6,All
333,Living Biblically,2018,1,English,Comedy,,All
334,Kanan Gill: How Insensitive,2016,1,English,Comedy,7,All
335,Jim Gaffigan: Quality Time,2019,1,English,Comedy,7.6,13+
336,Angie Tribeca,2016,4,English,Comedy,7,16+
337,Inside Jokes,2018,1,English,"Arts, Entertainment, Culture",7.1,16+
338,Alice Fraser: Savage,2020,1,English,Comedy,,16+
339,Judith Lucy: Judith Lucy vs Men,2020,1,English,Comedy,6,18+
340,Zoe Coombs Marr: Bossy Bottom,2020,1,English,Comedy,,18+
341,The Grand Tour,2017,4,English,Sports,8.7,16+
342,The Adventures of Rocky and Bullwinkle,2018,2,English,Kids,5.4,All
343,The Adventures of Paddington Bear,2007,3,English,Kids,7.1,All
344,Chacha Bhatija,2016,2,Hindi,Kids,,7+
345,Lexx,1997,4,English,Sci-fi,,13+
346,Atchoo,2018,1,Hindi,Kids,,All
347,Tom Gleeson: Joy,2020,1,English,Comedy,6.3,16+
348,People of Earth,2016,2,English,Comedy,7.7,All
349,Son of Abish,2016,1,English,"Arts, Entertainment, Culture",7.3,13+
350,Tom Walker: Very Very,2020,1,English,Comedy,,16+
351,Jayde Adams: Serious Black Jumper,2020,1,English,Comedy,6.9,16+
352,Crisis in Six Scenes,2016,1,English,Comedy,6.6,18+
353,Alonzo Bodden: Heavy Lightweight,2019,1,English,Comedy,5.6,16+
354,Chris Ramsey: Approval Needed,2019,1,English,"Arts, Entertainment, Culture",7.2,16+
355,LOL: Australia,2020,1,English,Comedy,,All
356,#IMomSoHard Live,2019,1,English,Comedy,5.4,16+
357,Caligula,2018,1,Japanese,Comedy,,13+
358,Lano & Woodley: Fly,2020,1,English,Comedy,6.2,16+
359,The Late Show with James Corden,2018,2,English,Comedy,6.2,All
360,Spaced,1999,2,English,Comedy,,16+
361,Random Gappa,2017,1,Marathi,Comedy,,All
362,Rob Delaney: Jackie,2020,1,English,Comedy,6.4,18+
363,Mike E. Winfield: StepMan,2019,1,English,Comedy,6.3,16+
364,Ed Gamble: Blood Sugar,2019,1,English,"Arts, Entertainment, Culture",,16+
365,Mini Ninjas,2015,1,English,Comedy,,All
366,Loudermilk,2017,2,English,Comedy,,16+
367,Flo and Joan: Alive on Stage,2019,1,English,"Arts, Entertainment, Culture",,16+
368,Ilana Glazer: The Planet is Burning,2020,1,English,Comedy,3.7,18+
369,Scream Street,2015,1,English,Kids,7.1,All
370,"Me, Myself and I",2017,1,English,Comedy,7.2,All
371,Kung Fu Bunny,2016,1,English,Kids,,13+
372,The Kacey Musgraves Christmas Show,2019,1,English,Comedy,7.2,7+
373,Simon's Cat- Classic Collection,2018,1,English,Comedy,,All
374,The Danny Thomas Show,1958,3,English,Comedy,7.2,All
375,Hitoshi Matsumoto Presents Documental,2018,3,Japanese,Comedy,8,18+
376,Businessmen VS Aliens,2018,1,Japanese,Comedy,4.5,13+
377,Murphy Brown,2018,1,English,Comedy,,All
378,The Best of Groucho,1960,1,English,Comedy,,7+
379,WassUp With You,2018,2,Marathi,Comedy,,13+
380,Scooter: Secret Agent,2003,1,English,Comedy,6.8,All
381,LOL: Last one Laughing,2019,2,Spanish,Comedy,,18+
382,Faireez,2006,1,English,Comedy,,All
383,A New Kind Of Magic,2017,2,English,Comedy,,All
384,The Real McCoys,1958,6,English,Comedy,7.5,All
385,Uchimura Summers,2018,1,Japanese,"Arts, Entertainment, Culture",,13+
386,Paprika,2017,1,English,Kids,,All
387,Gattu- The Power Champ,2019,2,Hindi,Kids,,7+
388,Still Standing,2015,4,English,Comedy,,13+
389,Chris Tall Presents�,2019,1,Deutsch,Comedy,,16+
390,Short Poppies,2014,1,English,Comedy,,13+
391,The 2018 Rose Parade Hosted by Cord & Tish,2018,1,English,Comedy,,All
392,Aliens Love Underpants And,2017,1,English,Kids,,All
393,Gina Brillon: The Floor is Lava,2020,1,English,Comedy,,16+
394,The Great Adventure,2020,3,English,Action,7.2,All
395,Mystery Island,2018,2,Spanish,Thriller,6.5,16+
396,Robot Revolution,2021,1,English,Sci-Fi,8.0,13+
397,Fairy Tales Reimagined,2017,1,French,Fantasy,7.3,All
398,Spies in the Sky,2019,2,English,Action,7.4,13+
399,The Quantum Leap,2020,1,German,Sci-Fi,6.9,16+
400,Princess and the Dragon,2020,1,English,Fantasy,7.6,All
401,Halloween Night,2018,1,English,Horror,6.3,18+
402,The Hidden World,2021,2,Spanish,Drama,8.1,13+
403,Journey Through Time,2022,1,English,Adventure,7.8,All
404,Lost in the City,2019,1,Italian,Thriller,6.7,16+
405,Underwater Rescue,2020,1,English,Action,7.0,13+
406,Dreams Beyond,2021,1,English,Romance,7.5,16+
407,Cyber War,2020,1,Chinese,Sci-Fi,6.8,16+
408,Detective's Secret,2019,3,French,Crime,7.2,13+
409,The Haunted Castle,2018,2,English,Horror,6.9,18+
410,World’s Greatest Chef,2021,1,English,Reality,7.6,All
411,Superhero Squad,2021,1,Hindi,Action,7.7,13+
412,Romantic Journey,2019,2,Spanish,Romance,7.4,16+
413,The Last Knight,2020,1,English,Action,8.0,18+
414,The Magic of Music,2017,1,French,Music,7.5,All
415,Science Exploration,2022,1,English,Educational,7.3,All
416,Digital Dynasty,2018,1,Japanese,Drama,7.0,13+
417,Space Adventures,2021,1,English,Adventure,8.2,13+
418,The Silent Witness,2019,1,Spanish,Thriller,7.1,16+
419,The Last Escape,2022,1,English,Thriller,7.9,18+
420,Beauty Beyond,2020,1,English,Drama,6.8,13+
421,Dark Secrets,2021,1,German,Crime,7.3,18+
422,Ocean Mysteries,2020,2,English,Documentary,7.6,All
423,Chasing Shadows,2022,1,Spanish,Action,7.0,16+
424,The Last Hour,2021,2,English,Action,7.4,13+
425,Into the Unknown,2021,1,English,Adventure,8.0,All
426,Friends Forever,2020,1,English,Comedy,6.5,13+
427,Winter Wonderland,2019,1,English,Romance,6.7,All
428,Magical Creatures,2020,1,English,Fantasy,7.1,All
429,The Exiled King,2021,2,French,Action,7.3,18+
430,Lost in Paradise,2022,1,English,Drama,7.0,13+
431,Space Invaders,2020,2,English,Sci-Fi,7.4,13+
432,The Secret Path,2021,1,Italian,Adventure,7.5,16+
433,City of Dreams,2020,1,Spanish,Romance,6.8,13+
434,Midnight Escape,2022,1,English,Thriller,7.6,18+
435,Running Wild,2020,1,English,Adventure,7.9,13+
436,Frozen World,2019,1,English,Fantasy,7.0,13+
437,City Under Siege,2021,1,English,Action,7.4,16+
438,The Silent Voice,2021,2,Spanish,Romance,7.2,16+
439,Journey to the Stars,2021,1,English,Sci-Fi,8.1,13+
440,Echoes of the Past,2022,1,French,Drama,7.3,18+
441,Music in Motion,2020,1,English,Music,7.5,All
442,Desert Escape,2020,1,Hindi,Action,7.0,16+
443,Chasing the Horizon,2021,1,English,Adventure,7.9,13+
444,The Dark Side,2020,1,English,Thriller,7.1,18+
445,The Magical Forest,2021,1,English,Fantasy,7.3,All
446,Lovers Leap,2018,1,Spanish,Romance,6.9,13+
447,The Diamond Heist,2020,1,English,Crime,7.4,16+
448,The Mysterious Stranger,2021,1,English,Thriller,7.0,18+
449,Secret of the Sea,2022,1,English,Adventure,7.2,All
450,City of Secrets,2021,1,French,Thriller,7.8,16+
451,The Ghost Ship,2021,1,Spanish,Horror,6.6,18+
452,Whispers in the Night,2020,2,English,Thriller,7.5,18+
453,The Superhero's Journey,2021,1,Hindi,Action,7.1,13+
454,The Witch's Curse,2020,1,English,Horror,6.9,16+
455,Ocean Quest,2020,1,English,Adventure,7.4,All
456,The Unseen Enemy,2021,1,English,Action,8.2,16+
457,Crimson Sky,2020,2,English,Fantasy,7.5,13+
458,The Lucky Star,2018,1,Spanish,Romance,7.0,13+
459,Chasing Dreams,2020,1,English,Drama,7.3,All
